2147483647
Small Monte Carlo by Scott Prahl (https://omlc.org)
1 W/cm^2 Uniform Illumination of Semi-Infinite Medium

Scattering =   95.000/cm
Absorption =    5.000/cm
Anisotropy =    0.500
Refr Index =    1.500
Photons    =   100000

Specular Refl      =    0.04000
Backscattered Refl =    0.21934

 Depth         Heat
[microns]     [W/cm^3]
     0        15.84271
    20        15.69440
    40        15.47354
    60        15.05712
    80        14.66838
   100        14.19037
   120        13.62873
   140        13.16564
   160        12.60662
   180        12.08011
   200        11.55072
   220        10.97862
   240        10.51738
   260        10.07310
   280         9.51824
   300         9.16768
   320         8.65081
   340         8.20299
   360         7.79871
   380         7.39862
   400         7.06278
   420         6.73981
   440         6.40312
   460         6.10341
   480         5.65864
   500         5.44621
   520         5.13048
   540         4.89300
   560         4.59113
   580         4.37036
   600         4.10985
   620         3.94894
   640         3.74323
   660         3.53111
   680         3.37112
   700         3.16315
   720         3.00474
   740         2.83907
   760         2.68979
   780         2.52450
   800         2.38820
   820         2.27012
   840         2.15017
   860         2.05204
   880         1.92174
   900         1.82471
   920         1.74270
   940         1.65116
   960         1.55556
   980         1.47928
  1000         1.42437
  1020         1.33817
  1040         1.24856
  1060         1.19317
  1080         1.11563
  1100         1.04454
  1120         0.97389
  1140         0.93747
  1160         0.89805
  1180         0.84877
  1200         0.79908
  1220         0.73805
  1240         0.71341
  1260         0.67270
  1280         0.63938
  1300         0.61444
  1320         0.58058
  1340         0.53985
  1360         0.49928
  1380         0.48054
  1400         0.45359
  1420         0.43244
  1440         0.41055
  1460         0.38028
  1480         0.36276
  1500         0.34294
  1520         0.32598
  1540         0.30040
  1560         0.29622
  1580         0.27746
  1600         0.26310
  1620         0.25025
  1640         0.22932
  1660         0.21697
  1680         0.21250
  1700         0.20278
  1720         0.18780
  1740         0.17669
  1760         0.16766
  1780         0.15669
  1800         0.14807
  1820         0.14191
  1840         0.13721
  1860         0.12624
  1880         0.11966
  1900         0.11690
  1920         0.10545
  1940         0.10143
  1960         0.09653
  1980         0.08984
 extra         0.00315
