2147483647
Small Monte Carlo by Scott Prahl (https://omlc.org)
1 W/cm^2 Uniform Illumination of Semi-Infinite Medium

Scattering =   95.000/cm
Absorption =    5.000/cm
Anisotropy =    0.500
Refr Index =    1.500
Photons    =   100000

Specular Refl      =   0.040000
Backscattered Refl =    0.21731

 Depth         Heat
[microns]     [W/cm^3]
     0        15.62291
    20        15.49954
    40        15.13320
    60        14.80387
    80        14.57693
   100        14.11714
   120        13.64721
   140        13.27370
   160        12.66030
   180        12.08150
   200        11.62316
   220        11.13393
   240        10.60020
   260        10.09083
   280         9.70742
   300         9.18227
   320         8.80252
   340         8.35106
   360         7.95852
   380         7.50852
   400         7.09623
   420         6.73552
   440         6.35602
   460         6.05232
   480         5.76969
   500         5.32541
   520         5.08935
   540         4.94066
   560         4.60068
   580         4.37456
   600         4.16700
   620         3.92749
   640         3.71983
   660         3.52837
   680         3.37470
   700         3.18971
   720         3.00323
   740         2.82914
   760         2.73479
   780         2.57586
   800         2.40841
   820         2.30370
   840         2.16423
   860         2.02593
   880         1.94994
   900         1.81434
   920         1.72858
   940         1.64852
   960         1.55932
   980         1.47985
  1000         1.37939
  1020         1.33085
  1040         1.28210
  1060         1.18523
  1080         1.12560
  1100         1.05341
  1120         1.00428
  1140         0.96834
  1160         0.90931
  1180         0.86874
  1200         0.81929
  1220         0.78467
  1240         0.73114
  1260         0.68145
  1280         0.65222
  1300         0.61856
  1320         0.59371
  1340         0.55045
  1360         0.52887
  1380         0.49163
  1400         0.46572
  1420         0.45449
  1440         0.42523
  1460         0.39230
  1480         0.38131
  1500         0.35617
  1520         0.33600
  1540         0.32883
  1560         0.31492
  1580         0.28981
  1600         0.27002
  1620         0.26255
  1640         0.24768
  1660         0.23760
  1680         0.22402
  1700         0.21063
  1720         0.20147
  1740         0.18778
  1760         0.18009
  1780         0.16710
  1800         0.16446
  1820         0.15511
  1840         0.15123
  1860         0.13502
  1880         0.13117
  1900         0.12149
  1920         0.11345
  1940         0.10721
  1960         0.09635
  1980         0.09761
 extra         0.00346
